,UNITID,CITY,INSTNM_x,STABBR,LATITUDE,LONGITUDE,ADM_RATE,SAT_AVG,TUITIONFEE_IN,TUITIONFEE_OUT,Seed,School,Conference,Record,Overall Seed,Berth type
0,222178,Abilene,Abilene Christian University,TX,32.468943,-99.709797,50.89,1077,32070,32070,15,Abilene Christian,Southland,27–6,62,Automatic
1,104151,Tempe,Arizona State University-Tempe,AZ,33.417721,-111.934383,82.5,1147,10370,26470,11*,Arizona State,Pac-12,22–10,45,At-Large
2,100858,Auburn,Auburn University,AL,32.599378,-85.488258,80.54,1217,10696,28840,5,Auburn,SEC,26–9,18,Automatic
3,223232,Waco,Baylor University,TX,31.54896,-97.117641,39.72,1246,42006,42006,9,Baylor,Big 12,19–12,35,At-Large
4,219709,Nashville,Belmont University,TN,36.133866,-86.794715,81.04,1185,31390,31390,11*,Belmont,Ohio Valley,26–5,42,At-Large
5,143358,Peoria,Bradley University,IL,40.696896,-89.616786,69.81,1141,32120,32120,15,Bradley,Missouri Valley,20–14,61,Automatic
6,196088,Buffalo,University at Buffalo,NY,43.000942,-78.789458,59.38,1181,9574,26814,6,Buffalo,MAC,31–3,23,Automatic
7,110653,Irvine,University of California-Irvine,CA,33.648434,-117.841248,40.65,1206,13360,40042,13,UC Irvine,Big West,30–5,51,Automatic
8,132903,Orlando,University of Central Florida,FL,28.602159,-81.200889,49.99,1179,6368,22467,9,UCF,American,23–8,34,At-Large
9,201885,Cincinnati,University of Cincinnati-Main Campus,OH,39.131159,-84.51428,76.42,1164,11000,26334,7,Cincinnati,American,28–6,27,Automatic
10,190099,Hamilton,Colgate University,NY,42.819475,-75.536346,28.78,1388,51955,51955,15,Colgate,Patriot,24–10,60,Automatic
11,198419,Durham,Duke University,NC,36.001135,-78.937624,10.83,1460,51265,51265,1,Duke,ACC,29–5,1,Automatic
12,184694,Madison,Fairleigh Dickinson University-Florham Campus,NJ,40.774498,-74.432121,79.09,1030,40234,40234,16*,Fairleigh Dickinson,Northeast,20–13,66,Automatic
13,134130,Gainesville,University of Florida,FL,29.64629,-82.347911,45.94,1287,6381,28659,10,Florida,SEC,19–15,40,At-Large
14,134097,Tallahassee,Florida State University,FL,30.440756,-84.291921,58.01,1214,6507,21673,4,Florida State,ACC,27–7,14,At-Large
15,198561,Boiling Springs,Gardner-Webb University,NC,35.24732,-81.668141,51.88,987,29810,29810,16,Gardner–Webb,Big South,23–11,63,Automatic
16,139940,Atlanta,Georgia State University,GA,33.7527,-84.38667,58.84,1070,8974,23542,14,Georgia State,Sun Belt,24–9,57,Automatic
17,235316,Spokane,Gonzaga University,WA,47.666531,-117.400625,67.29,1224,39730,39730,1,Gonzaga,WCC,30–3,4,At-Large
18,225511,Houston,University of Houston,TX,29.720393,-95.343537,58.54,1152,9519,21711,3,Houston,American,31–3,9,At-Large
19,191931,New Rochelle,Iona College,NY,40.925725,-73.788046,91.46,1005,36584,36584,16,Iona,MAAC,17–15,64,Automatic
20,153658,Iowa City,University of Iowa,IA,41.661935,-91.536425,84.11,1165,8575,28813,10,Iowa,Big Ten,22–11,37,At-Large
21,153603,Ames,Iowa State University,IA,42.026212,-93.648504,87.49,1144,8219,21583,6,Iowa State,Big 12,23–11,24,Automatic
22,155317,Lawrence,University of Kansas,KS,38.958549,-95.247567,93.01,1185,11455,28239,4,Kansas,Big 12,25–9,13,At-Large
23,155399,Manhattan,Kansas State University,KS,39.188648,-96.581077,94.07,,9874,24775,4,Kansas State,Big 12,25–9,15,At-Large
24,157085,Lexington,University of Kentucky,KY,38.038911,-84.504747,90.79,1159,11484,26334,2,Kentucky,SEC,27–6,7,At-Large
25,232557,Lynchburg,Liberty University,VA,37.350232,-79.18222,24.38,1094,21292,21292,12,Liberty,Atlantic Sun,28–6,50,Automatic
26,159391,Baton Rouge,Louisiana State University and Agricultural & Mechanical College,LA,30.414986,-91.178921,76.39,1162,10814,27491,3,LSU,SEC,26–6,11,At-Large
27,157289,Louisville,University of Louisville,KY,38.216862,-85.760412,72.57,1165,11264,26286,7,Louisville,ACC,20–13,25,At-Large
28,239105,Milwaukee,Marquette University,WI,43.03903,-87.927961,84.34,1199,38470,38470,5,Marquette,Big East,24–9,17,At-Large
29,163286,College Park,University of Maryland-College Park,MD,38.988178,-76.944721,48.06,1337,10181,32045,6,Maryland,Big Ten,22–10,22,At-Large
30,170976,Ann Arbor,University of Michigan-Ann Arbor,MI,42.275921,-83.742769,28.59,1386,14402,45410,2,Michigan,Big Ten,28–6,8,At-Large
31,171100,East Lansing,Michigan State University,MI,42.73212,-84.476111,65.74,1194,14062,37890,2,Michigan State,Big Ten,28–6,6,Automatic
32,174066,Minneapolis,University of Minnesota-Twin Cities,MN,44.972851,-93.235464,44.41,1288,14142,23806,10,Minnesota,Big Ten,21–13,39,At-Large
33,176080,Mississippi State,Mississippi State University,MS,33.454852,-88.790139,55.67,1125,7780,20900,5,Mississippi State,SEC,23–10,20,At-Large
34,176017,University,University of Mississippi,MS,34.365529,-89.537434,78.3,1155,7744,22012,8,Ole Miss,SEC,20–12,31,At-Large
35,180489,Missoula,The University of Montana,MT,46.859312,-113.982912,92.43,1072,6238,23764,15,Montana,Big Sky,26–8,59,Automatic
36,157401,Murray,Murray State University,KY,36.612419,-88.323629,85.35,1101,8400,22680,12,Murray State,Ohio Valley,27–4,46,Automatic
37,157447,Highland Heights,Northern Kentucky University,KY,39.029714,-84.463483,91.09,1066,9384,18384,14,Northern Kentucky,Horizon,26–8,58,Automatic
38,199120,Chapel Hill,University of North Carolina at Chapel Hill,NC,35.911769,-79.050969,26.94,1338,8834,33916,1,North Carolina,ACC,27–6,3,At-Large
39,200332,Fargo,North Dakota State University-Main Campus,ND,46.893127,-96.800838,92.8,1091,8327,19891,16*,North Dakota State,Summit,18–15,67,Automatic
40,182290,Reno,University of Nevada-Reno,NV,39.543642,-119.815377,82.81,1088,7142,21052,7,Nevada,Mountain West,29–4,26,At-Large
41,188030,Las Cruces,New Mexico State University-Main Campus,NM,32.281568,-106.752069,59.61,982,6094,19652,12,New Mexico State,WAC,30–4,49,Automatic
42,167358,Boston,Northeastern University,MA,42.339992,-71.088782,28.88,1434,47653,47653,13,Northeastern,CAA,23–10,54,Automatic
43,204796,Columbus,Ohio State University-Main Campus,OH,39.999324,-83.014853,54.11,1296,10037,28229,11,Ohio State,Big Ten,19–14,41,At-Large
44,207500,Norman,University of Oklahoma-Norman Campus,OK,35.209407,-97.444211,70.84,1189,10881,25203,9,Oklahoma,Big 12,19–13,36,At-Large
45,232982,Norfolk,Old Dominion University,VA,36.886418,-76.30666,84.64,1010,9750,26730,14,Old Dominion,C-USA,26–8,56,Automatic
46,209551,Eugene,University of Oregon,OR,44.045146,-123.075792,77.87,1111,10761,33441,12,Oregon,Pac-12,23–12,48,Automatic
47,243780,West Lafayette,Purdue University-Main Campus,IN,40.428206,-86.914435,55.97,1228,10002,28804,3,Purdue,Big Ten,23–9,12,At-Large
48,123554,Moraga,Saint Mary's College of California,CA,37.840731,-122.109031,80.39,1093,44360,44360,11,Saint Mary's,West Coast,22–11,44,Automatic
49,186584,South Orange,Seton Hall University,NJ,40.742336,-74.246027,66.9,1156,39258,39258,10,Seton Hall,Big East,20–12,38,At-Large
50,179159,Saint Louis,Saint Louis University,MO,38.636801,-90.2351,64.74,1259,40726,40726,13,Saint Louis,Atlantic 10,23–12,53,Automatic
51,196413,Syracuse,Syracuse University,NY,43.040176,-76.136975,52.32,1204,45022,45022,8,Syracuse,ACC,20–13,30,At-Large
52,221740,Chattanooga,The University of Tennessee-Chattanooga,TN,35.048247,-85.299812,78.26,1088,8544,24662,2,Tennessee,SEC,29–5,5,At-Large
53,229115,Lubbock,Texas Tech University,TX,33.583448,-101.874783,62.6,1117,8428,18220,3,Texas Tech,Big 12,26–6,10,At-Large
54,230728,Logan,Utah State University,UT,41.740748,-111.81391,90.25,1087,7426,20492,8,Utah State,Mountain West,28–6,32,Automatic
55,234155,Petersburg,Virginia State University,VA,37.236453,-77.419886,94.48,817,8472,19002,4,Virginia Tech,ACC,24–8,16,At-Large
56,234155,Petersburg,Virginia State University,VA,37.236453,-77.419886,94.48,817,8472,19002,5,Mississippi State,SEC,23–10,20,At-Large
57,234030,Richmond,Virginia Commonwealth University,VA,37.547631,-77.453597,81.15,1094,13130,32287,8,VCU,Atlantic 10,25–7,29,At-Large
58,231174,Burlington,University of Vermont,VT,44.477325,-73.196646,68.94,1216,17300,40364,13,Vermont,America East,27–6,52,Automatic
59,216597,Villanova,Villanova University,PA,40.039388,-75.345457,43.5,1350,49280,49280,6,Villanova,Big East,25–9,21,Automatic
60,234076,Charlottesville,University of Virginia-Main Campus,VA,38.035665,-78.503428,29.86,1362,16412,45756,1,Virginia,ACC,29–3,2,At-Large
61,236948,Seattle,University of Washington-Seattle Campus,WA,47.65538,-122.30514,45.35,1266,10753,34791,9,Washington,Pac-12,26–8,33,At-Large
62,240444,Madison,University of Wisconsin-Madison,WI,43.075409,-89.404098,52.62,1302,10488,32738,5,Wisconsin,Big Ten,23–10,19,At-Large
63,218973,Spartanburg,Wofford College,SC,34.959411,-81.933568,70.11,1185,40245,40245,7,Wofford,Southern,29–4,28,Automatic
64,130794,New Haven,Yale University,CT,41.311158,-72.926688,6.32,1502,49480,49480,14,Yale,Ivy,22–7,55,Automatic