Tournament,UNITID,OPEID,OPEID6,INSTNM
Abilene Christian,222178,353700,3537,Abilene Christian University
Arizona St,104151,108100,1081,Arizona State University-Tempe
Auburn,100858,100900,1009,Auburn University
Baylor,223232,354500,3545,Baylor University
Belmont,219709,347900,3479,Belmont University
Bradley,143358,164100,1641,Bradley University
Buffalo,196088,283700,2837,University at Buffalo
California Irvine,110653,131400,1314,University of California-Irvine
Central Florida,132903,395400,3954,University of Central Florida
Cincinnati,201885,312500,3125,University of Cincinnati-Main Campus
Colgate,190099,270100,2701,Colgate University
Duke,198419,292000,2920,Duke University
Fairleigh Dickinson,184694,260701,2607,Fairleigh Dickinson University-Florham Campus
Florida,134130,153500,1535,University of Florida
Florida St.,134097,148900,1489,Florida State University
Gardner Webb,198561,292900,2929,Gardner-Webb University
Georgia State,139940,157400,1574,Georgia State University
Gonzaga,235316,377800,3778,Gonzaga University
Houston,225511,365200,3652,University of Houston
Iona,191931,273700,2737,Iona College
Iowa,153658,189200,1892,University of Iowa
Iowa St.,153603,186900,1869,Iowa State University
Kansas,155317,194800,1948,University of Kansas
Kansas St.,155399,192800,1928,Kansas State University
Kentucky,157085,198900,1989,University of Kentucky
Liberty,232557,2053000,20530,Liberty University
Louisiana St,159391,201000,2010,Louisiana State University and Agricultural & Mechanical College
Louisville,157289,199900,1999,University of Louisville
Marquette,239105,386300,3863,Marquette University
Maryland,163286,210300,2103,University of Maryland-College Park
Michigan,170976,232500,2325,University of Michigan-Ann Arbor
Michigan St.,171100,229000,2290,Michigan State University
Minnesota,174066,396900,3969,University of Minnesota-Twin Cities
Mississippi State,176080,242300,2423,Mississippi State University
Mississippi,176017,244000,2440,University of Mississippi
Montana,180489,253600,2536,The University of Montana
Murray St.,157401,197700,1977,Murray State University
Northern Kentucky,157447,927500,9275,Northern Kentucky University
North Carolina,199120,297400,2974,University of North Carolina at Chapel Hill
North Dakota State,200332,299700,2997,North Dakota State University-Main Campus
Nevada,182290,256800,2568,University of Nevada-Reno
New Mexico State,188030,265700,2657,New Mexico State University-Main Campus
Northeastern,167358,219900,2199,Northeastern University
Ohio St.,204796,309000,3090,Ohio State University-Main Campus
Oklahoma,207500,318400,3184,University of Oklahoma-Norman Campus
Old Dominion,232982,372800,3728,Old Dominion University
Oregon,209551,322300,3223,University of Oregon
Purdue,243780,182500,1825,Purdue University-Main Campus
Saint Mary's,123554,130200,1302,Saint Mary's College of California
Seton Hall,186584,263200,2632,Seton Hall University
St. Louis,179159,250600,2506,Saint Louis University
Syracuse,196413,288200,2882,Syracuse University
Tennessee,221740,352900,3529,The University of Tennessee-Chattanooga
Texas Tech,229115,364400,3644,Texas Tech University
Utah St.,230728,367700,3677,Utah State University
Virginia Tech,234155,376400,3764,Virginia State University
Virgina Commonwealth,234030,373500,3735,Virginia Commonwealth University
Vermont,231174,369600,3696,University of Vermont
Villanova,216597,338800,3388,Villanova University
Virginia,234076,374500,3745,University of Virginia-Main Campus
Washington,236948,379800,3798,University of Washington-Seattle Campus
Wisconsin,240444,389500,3895,University of Wisconsin-Madison
Wofford,218973,345700,3457,Wofford College
Yale,130794,142600,1426,Yale University